author	comment	vote
Pigleaf	70周年献礼电影有点多啊……《决胜时刻》《我和我的祖国》《中国机长》《攀登者》，阵容都是空前强大，前几天看了《我和我的祖国》预告片，希望正片能像预告一样让人泪目	0
龚大政。	趁还没有那么多人知道时来占个坑。	1
江江的	吴京就是理由	0
魔仙堡保安队长	根据我国真实事件改编，带上爸妈一起去看	0
🦄	胡歌	5
光影炸裂💥	早就说好了要陪你一起看胡歌的两部新电影的😔	4
Aether	值得铭记的历史，也是一段登山人的爱国奋斗史。让一再说着“你们中国人说珠穆朗玛是你们的，可是你们都没有登顶过”的人，永远闭上了臭嘴	1
idouban	李大导演，求你好好照着历史来拍就ok了，别瞎改编瞎煽情，加一堆动作戏。看着预告片里有一幕，有个登山队员在雪山上飞身一跃，就觉得这片够科幻的了。齐膝深的雪里，动作幅度该都很小吧，还能跳这么高，这么远？！	0
言午夢	期待呦，希望票房大卖，等着国庆去看嘿嘿	4
瓜皮	为啥要选烂片王李仁港啊，大半夜的好生气。天然的好剧本，加上一众靠谱演员，万众期待，如果这样的条件如果都拍不好，飞碟帽你可以谢罪了！！	2
拒绝尬演	啊啊啊啊啊啊啊啊，预告片我胡的声音好有磁性，爱了	2
枫猫	登珠峰	1
流浪恶犬	有张译，期待一下	1
蚊子与粥	额，看了下这个导演瞬间想退票，不过还是感觉会去啊	0
自然天下雄	中华民族	1
kkcatymb	我希望是我心目中的一部好片！阵容很强大，但是导演很后怕……	2
哲賦涵析（手襲	“几亿人民只能想着吃饭这点问题，我们这个民族又能有什么希望呢？！”预告片把人看哭了，哭完精神抖擞的电影不多了！	0
艾迪逊	胡歌电影处女座	1
刘宸	赶快上影一定到电影院去看	2
再见淡淡	张译张译，都是实力演员，镜头配音充满期待	1
朕有点萌	给阿京打call！	1
白芷	没有审查估计是部好电影！	0
hwf254	李仁港的水平實在不太行	1
As  before	胡歌  吴京	0
优	有吴京，就买票	0
York丶Cheng	剧情	2
蓝开	希望剧情可以连贯，期待	1
纪北	京妹也太软萌了。还是有点尬	0
Turnin'	希望不要太冗长	0
pdidg	神吧三部曲完结篇，一定要看哟	0
IVAN	国家重点项目	2
青杳	胡歌胡歌胡歌还是胡歌	4
千山	胡歌	4
可可	还挺期待这部的	0
CLEON	阵容爆了	3
悟空溜溜	李仁港的处女作《独臂刀之情》非常惊艳，小时候在央6看了，记忆深刻。后来的《阿虎》也不错。北上之后，水准滑坡，不知道能否迎来翻身仗。	0
瀚海君	28号的点映票已买好，相信吴京一定不会让我失望	0
bAfter	要看！	0
虎皮青猫下水道	挺不错的题材，拍摄手法也很熟练，没有太多瑕疵。	0
菠萝沙冰！	这个阵容没有不期待的理由，但是李仁港导演近几年作品确实是不咋地。	1
奶酪陷阱	看了预告，挺感兴趣	0
我是你爸爸	吴京这部要是再爆，就票房封神了。	0
